category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.498553', 'street': {'id': 1677378, 'name': 'On or near Caxton Street'}, 'longitude': '-0.135291'}",,,,107816767,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.502428', 'street': {'id': 1681119, 'name': 'On or near Pear Place'}, 'longitude': '-0.110508'}",,,,107816386,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513470', 'street': {'id': 1677129, 'name': 'On or near Broadwick Street'}, 'longitude': '-0.136339'}",,,,107820917,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514867', 'street': {'id': 1676714, 'name': 'On or near '}, 'longitude': '-0.138790'}",,,,107820937,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107821000,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.501409', 'street': {'id': 1680983, 'name': 'On or near Tanswell Street'}, 'longitude': '-0.111443'}",,,,107821101,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.504066', 'street': {'id': 1681189, 'name': 'On or near '}, 'longitude': '-0.110037'}",,,,107820205,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517858', 'street': {'id': 1678162, 'name': 'On or near Adeline Place'}, 'longitude': '-0.130120'}",,,,107821195,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.519792', 'street': {'id': 1679812, 'name': 'On or near '}, 'longitude': '-0.118337'}",,,,107821243,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514012', 'street': {'id': 1677997, 'name': 'On or near '}, 'longitude': '-0.131078'}",,,,107823247,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507970', 'street': {'id': 1677656, 'name': 'On or near Charles Ii Street'}, 'longitude': '-0.133162'}",,,,107820078,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.505618', 'street': {'id': 1675459, 'name': 'On or near Hertford Street'}, 'longitude': '-0.148735'}",,,,107820047,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511783', 'street': {'id': 1678199, 'name': 'On or near '}, 'longitude': '-0.129778'}",,,,107821312,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512449', 'street': {'id': 1680063, 'name': 'On or near Surrey Street'}, 'longitude': '-0.115772'}",,,,107820046,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511022', 'street': {'id': 1679585, 'name': 'On or near Strand'}, 'longitude': '-0.119880'}",,,,107814356,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.509496', 'street': {'id': 1675494, 'name': 'On or near Farm Street'}, 'longitude': '-0.148318'}",,,,107818713,,2023-01
